match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2206,1996-06-16,Russia,Germany,0.0,3.0,UEFA Euro,Manchester,England,True
2207,1996-06-16,Sierra Leone,Burundi,0.0,1.0,FIFA World Cup qualification,Freetown,Sierra Leone,False
2208,1996-06-16,Tunisia,Rwanda,2.0,0.0,FIFA World Cup qualification,Tunis,Tunisia,False
2209,1996-06-16,United States,Mexico,2.0,2.0,USA Cup,Pasadena,United States,False
2210,1996-06-16,Zambia,Sudan,3.0,0.0,FIFA World Cup qualification,Lusaka,Zambia,False
2211,1996-06-16,Zimbabwe,Madagascar,2.0,2.0,FIFA World Cup qualification,Harare,Zimbabwe,False
2212,1996-06-17,Ghana,Tanzania,2.0,1.0,FIFA World Cup qualification,Kumasi,Ghana,False
2213,1996-06-17,Oman,Nepal,2.0,1.0,AFC Asian Cup qualification,Muscat,Oman,False
2214,1996-06-17,Sri Lanka,Iran,0.0,4.0,AFC Asian Cup qualification,Muscat,Oman,True
2215,1996-06-18,England,Netherlands,4.0,1.0,UEFA Euro,London,England,False
2216,1996-06-18,France,Bulgaria,3.0,1.0,UEFA Euro,Newcastle,England,True
2217,1996-06-18,Romania,Spain,1.0,2.0,UEFA Euro,Leeds,England,True
2218,1996-06-18,Scotland,Switzerland,1.0,0.0,UEFA Euro,Birmingham,England,True
2219,1996-06-19,Croatia,Portugal,0.0,3.0,UEFA Euro,Nottingham,England,True
2220,1996-06-19,Italy,Germany,0.0,0.0,UEFA Euro,Manchester,England,True
2221,1996-06-19,Nepal,Iran,0.0,4.0,AFC Asian Cup qualification,Muscat,Oman,True
2222,1996-06-19,Oman,Sri Lanka,10.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
